,31m56s.png,10m04s.png,07m36s.png,38m55s.png,03m10s.png,14m04s.png,33m28s.png,06m47s.png,08m25s.png
250,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
251,-0.0,-0.0,-0.0,27092410000.0,-0.0,-0.0,-0.0,-0.0,-0.0
252,-0.0,-0.0,-0.0,13519540000.0,-0.0,-0.0,13519540000.0,13519540000.0,-0.0
253,-0.0,-0.0,-0.0,13519540000.0,-0.0,-0.0,13519540000.0,13519540000.0,-0.0
254,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,13519540000.0,-0.0
255,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,13519540000.0,-0.0
256,13519540000.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0,13519540000.0,-0.0
257,40719036000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
258,54399844000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
259,54399844000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,40719036000.0,-0.0
260,54399844000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0
261,13519540000.0,27092410000.0,-0.0,-0.0,13519540000.0,-0.0,-0.0,40719036000.0,13519540000.0
262,13519540000.0,13519540000.0,-0.0,-0.0,-0.0,-0.0,-0.0,54399844000.0,-0.0
263,-0.0,13519540000.0,-0.0,-0.0,-0.0,-0.0,-0.0,81925740000.0,-0.0
264,-0.0,27092410000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13519540000.0
265,-0.0,27092410000.0,-0.0,-0.0,-0.0,-0.0,-0.0,54399844000.0,-0.0
266,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0,27092410000.0
267,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,40719036000.0,54399844000.0
268,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,27092410000.0
